Token(type='PREPROC', value='#ifndef OLED_DRIVER', line=1, column=0)
Token(type='PREPROC', value='#define OLED_DRIVER', line=2, column=0)
Token(type='PREPROC', value='#include <avr/io.h>', line=4, column=0)
Token(type='PREPROC', value='#define TABLE_OFFSET 32', line=6, column=0)
Token(type='PREPROC', value='#define SCREEN_W 128 //screen width (pixels)', line=7, column=0)
Token(type='PREPROC', value='#define SCREEN_H 8  //screeen height (pages)', line=8, column=0)
Token(type='ID', value='void', line=11, column=0)
Token(type='ID', value='OLED_init', line=11, column=5)
Token(type='PAROPEN', value='(', line=11, column=14)
Token(type='ID', value='void', line=11, column=15)
Token(type='PARCLOSE', value=')', line=11, column=19)
Token(type='END', value=';', line=11, column=20)
Token(type='ID', value='void', line=13, column=0)
Token(type='ID', value='write_command_OLED', line=13, column=5)
Token(type='PAROPEN', value='(', line=13, column=23)
Token(type='ID', value='char', line=13, column=24)
Token(type='ID', value='command', line=13, column=29)
Token(type='PARCLOSE', value=')', line=13, column=36)
Token(type='END', value=';', line=13, column=37)
Token(type='ID', value='void', line=15, column=0)
Token(type='ID', value='OLED_write_char', line=15, column=5)
Token(type='PAROPEN', value='(', line=15, column=20)
Token(type='ID', value='unsigned', line=15, column=21)
Token(type='ID', value='char', line=15, column=30)
Token(type='ID', value='karakter', line=15, column=35)
Token(type='LISTSEP', value=',', line=15, column=43)
Token(type='ID', value='char', line=15, column=45)
Token(type='ID', value='size', line=15, column=50)
Token(type='LISTSEP', value=',', line=15, column=54)
Token(type='ID', value='char', line=15, column=56)
Token(type='ID', value='invert', line=15, column=61)
Token(type='PARCLOSE', value=')', line=15, column=67)
Token(type='END', value=';', line=15, column=68)
Token(type='ID', value='void', line=17, column=0)
Token(type='ID', value='write_d', line=17, column=5)
Token(type='PAROPEN', value='(', line=17, column=12)
Token(type='ID', value='char', line=17, column=13)
Token(type='ID', value='data', line=17, column=18)
Token(type='PARCLOSE', value=')', line=17, column=22)
Token(type='END', value=';', line=17, column=23)
Token(type='ID', value='void', line=19, column=0)
Token(type='ID', value='OLED_clear', line=19, column=5)
Token(type='PAROPEN', value='(', line=19, column=15)
Token(type='ID', value='void', line=19, column=16)
Token(type='PARCLOSE', value=')', line=19, column=20)
Token(type='END', value=';', line=19, column=21)
Token(type='ID', value='void', line=21, column=0)
Token(type='ID', value='OLED_write_string', line=21, column=5)
Token(type='PAROPEN', value='(', line=21, column=22)
Token(type='ID', value='char', line=21, column=23)
Token(type='ID', value='string', line=21, column=28)
Token(type='BRACKOPEN', value='[', line=21, column=34)
Token(type='BRACKCLOSE', value=']', line=21, column=35)
Token(type='LISTSEP', value=',', line=21, column=36)
Token(type='ID', value='char', line=21, column=38)
Token(type='ID', value='size', line=21, column=43)
Token(type='LISTSEP', value=',', line=21, column=47)
Token(type='ID', value='char', line=21, column=49)
Token(type='ID', value='invert', line=21, column=54)
Token(type='PARCLOSE', value=')', line=21, column=60)
Token(type='END', value=';', line=21, column=61)
Token(type='ID', value='void', line=23, column=0)
Token(type='ID', value='OLED_goto_line', line=23, column=5)
Token(type='PAROPEN', value='(', line=23, column=19)
Token(type='ID', value='char', line=23, column=20)
Token(type='ID', value='line', line=23, column=25)
Token(type='PARCLOSE', value=')', line=23, column=29)
Token(type='END', value=';', line=23, column=30)
Token(type='ID', value='void', line=25, column=0)
Token(type='ID', value='OLED_goto_column', line=25, column=5)
Token(type='PAROPEN', value='(', line=25, column=21)
Token(type='ID', value='char', line=25, column=22)
Token(type='ID', value='line', line=25, column=27)
Token(type='PARCLOSE', value=')', line=25, column=31)
Token(type='END', value=';', line=25, column=32)
Token(type='ID', value='void', line=27, column=0)
Token(type='ID', value='OLED_clear_line', line=27, column=5)
Token(type='PAROPEN', value='(', line=27, column=20)
Token(type='ID', value='char', line=27, column=21)
Token(type='ID', value='line', line=27, column=26)
Token(type='PARCLOSE', value=')', line=27, column=30)
Token(type='END', value=';', line=27, column=31)
Token(type='ID', value='void', line=29, column=0)
Token(type='ID', value='OLED_home', line=29, column=5)
Token(type='PAROPEN', value='(', line=29, column=14)
Token(type='PARCLOSE', value=')', line=29, column=15)
Token(type='END', value=';', line=29, column=16)
Token(type='ID', value='void', line=31, column=0)
Token(type='ID', value='OLED_pos', line=31, column=5)
Token(type='PAROPEN', value='(', line=31, column=13)
Token(type='ID', value='char', line=31, column=14)
Token(type='ID', value='row', line=31, column=19)
Token(type='LISTSEP', value=',', line=31, column=22)
Token(type='ID', value='char', line=31, column=24)
Token(type='ID', value='column', line=31, column=29)
Token(type='PARCLOSE', value=')', line=31, column=35)
Token(type='END', value=';', line=31, column=36)
Token(type='ID', value='void', line=33, column=0)
Token(type='ID', value='OLED_print_start_screen', line=33, column=5)
Token(type='PAROPEN', value='(', line=33, column=28)
Token(type='PARCLOSE', value=')', line=33, column=29)
Token(type='END', value=';', line=33, column=30)
Token(type='PREPROC', value='#endif', line=34, column=0)
Token(type='PREPROC', value='#ifndef OLED_DRIVER', line=1, column=0)
Token(type='PREPROC', value='#define OLED_DRIVER', line=2, column=0)
Token(type='PREPROC', value='#include <avr/io.h>', line=4, column=0)
Token(type='PREPROC', value='#define TABLE_OFFSET 32', line=6, column=0)
Token(type='PREPROC', value='#define SCREEN_W 128 //screen width (pixels)', line=7, column=0)
Token(type='PREPROC', value='#define SCREEN_H 8  //screeen height (pages)', line=8, column=0)
Token(type='ID', value='void', line=11, column=0)
Token(type='ID', value='OLED_init', line=11, column=5)
Token(type='PAROPEN', value='(', line=11, column=14)
Token(type='ID', value='void', line=11, column=15)
Token(type='PARCLOSE', value=')', line=11, column=19)
Token(type='END', value=';', line=11, column=20)
Token(type='ID', value='void', line=13, column=0)
Token(type='ID', value='write_command_OLED', line=13, column=5)
Token(type='PAROPEN', value='(', line=13, column=23)
Token(type='ID', value='char', line=13, column=24)
Token(type='ID', value='command', line=13, column=29)
Token(type='PARCLOSE', value=')', line=13, column=36)
Token(type='END', value=';', line=13, column=37)
Token(type='ID', value='void', line=15, column=0)
Token(type='ID', value='OLED_write_char', line=15, column=5)
Token(type='PAROPEN', value='(', line=15, column=20)
Token(type='ID', value='unsigned', line=15, column=21)
Token(type='ID', value='char', line=15, column=30)
Token(type='ID', value='karakter', line=15, column=35)
Token(type='LISTSEP', value=',', line=15, column=43)
Token(type='ID', value='char', line=15, column=45)
Token(type='ID', value='size', line=15, column=50)
Token(type='LISTSEP', value=',', line=15, column=54)
Token(type='ID', value='char', line=15, column=56)
Token(type='ID', value='invert', line=15, column=61)
Token(type='PARCLOSE', value=')', line=15, column=67)
Token(type='END', value=';', line=15, column=68)
Token(type='ID', value='void', line=17, column=0)
Token(type='ID', value='write_d', line=17, column=5)
Token(type='PAROPEN', value='(', line=17, column=12)
Token(type='ID', value='char', line=17, column=13)
Token(type='ID', value='data', line=17, column=18)
Token(type='PARCLOSE', value=')', line=17, column=22)
Token(type='END', value=';', line=17, column=23)
Token(type='ID', value='void', line=19, column=0)
Token(type='ID', value='OLED_clear', line=19, column=5)
