Token(type='PREPROC', value='#include <stdarg.h>', line=23, column=0)
Token(type='PREPROC', value='#include "uart.h"', line=24, column=0)
Token(type='ID', value='static', line=28, column=0)
Token(type='ID', value='void', line=28, column=7)
Token(type='ID', value='printchar', line=28, column=12)
Token(type='PAROPEN', value='(', line=28, column=21)
Token(type='ID', value='char', line=28, column=22)
Token(type='ARITOP', value='*', line=28, column=27)
Token(type='ARITOP', value='*', line=28, column=28)
Token(type='ID', value='str', line=28, column=29)
Token(type='LISTSEP', value=',', line=28, column=32)
Token(type='ID', value='int', line=28, column=34)
Token(type='ID', value='c', line=28, column=38)
Token(type='PARCLOSE', value=')', line=28, column=39)
Token(type='BRACEOPEN', value='{', line=29, column=0)
Token(type='PAROPEN', value='(', line=30, column=1)
Token(type='ID', value='void', line=30, column=2)
Token(type='PARCLOSE', value=')', line=30, column=6)
Token(type='ID', value='uart_putchar', line=30, column=8)
Token(type='PAROPEN', value='(', line=30, column=20)
Token(type='ID', value='c', line=30, column=21)
Token(type='PARCLOSE', value=')', line=30, column=22)
Token(type='END', value=';', line=30, column=23)
Token(type='BRACECLOSE', value='}', line=31, column=0)
Token(type='PREPROC', value='#define PAD_RIGHT 1', line=33, column=0)
Token(type='PREPROC', value='#define PAD_ZERO 2', line=34, column=0)
Token(type='ID', value='static', line=36, column=0)
Token(type='ID', value='int', line=36, column=7)
Token(type='ID', value='prints', line=36, column=11)
Token(type='PAROPEN', value='(', line=36, column=17)
Token(type='ID', value='char', line=36, column=18)
Token(type='ARITOP', value='*', line=36, column=23)
Token(type='ARITOP', value='*', line=36, column=24)
Token(type='ID', value='out', line=36, column=25)
Token(type='LISTSEP', value=',', line=36, column=28)
Token(type='ID', value='const', line=36, column=30)
Token(type='ID', value='char', line=36, column=36)
Token(type='ARITOP', value='*', line=36, column=41)
Token(type='ID', value='string', line=36, column=42)
Token(type='LISTSEP', value=',', line=36, column=48)
Token(type='ID', value='int', line=36, column=50)
Token(type='ID', value='width', line=36, column=54)
Token(type='LISTSEP', value=',', line=36, column=59)
Token(type='ID', value='int', line=36, column=61)
Token(type='ID', value='pad', line=36, column=65)
Token(type='PARCLOSE', value=')', line=36, column=68)
Token(type='BRACEOPEN', value='{', line=37, column=0)
Token(type='ID', value='register', line=38, column=1)
Token(type='ID', value='int', line=38, column=10)
Token(type='ID', value='pc', line=38, column=14)
Token(type='ASSIGN', value='=', line=38, column=17)
Token(type='NUMBER', value=0, line=38, column=19)
Token(type='LISTSEP', value=',', line=38, column=20)
Token(type='ID', value='padchar', line=38, column=22)
Token(type='ASSIGN', value='=', line=38, column=30)
Token(type='CHAR', value=' ', line=38, column=34)
Token(type='END', value=';', line=38, column=35)
Token(type='IF', value='if', line=40, column=1)
Token(type='PAROPEN', value='(', line=40, column=4)
Token(type='ID', value='width', line=40, column=5)
Token(type='ARITOP', value='>', line=40, column=11)
Token(type='NUMBER', value=0, line=40, column=13)
Token(type='PARCLOSE', value=')', line=40, column=14)
Token(type='BRACEOPEN', value='{', line=40, column=16)
Token(type='ID', value='register', line=41, column=2)
Token(type='ID', value='int', line=41, column=11)
Token(type='ID', value='len', line=41, column=15)
Token(type='ASSIGN', value='=', line=41, column=19)
Token(type='NUMBER', value=0, line=41, column=21)
Token(type='END', value=';', line=41, column=22)
Token(type='ID', value='register', line=42, column=2)
Token(type='ID', value='const', line=42, column=11)
Token(type='ID', value='char', line=42, column=17)
Token(type='ARITOP', value='*', line=42, column=22)
Token(type='ID', value='ptr', line=42, column=23)
Token(type='END', value=';', line=42, column=26)
Token(type='FOR', value='for', line=43, column=2)
Token(type='PAROPEN', value='(', line=43, column=6)
Token(type='ID', value='ptr', line=43, column=7)
Token(type='ASSIGN', value='=', line=43, column=11)
Token(type='ID', value='string', line=43, column=13)
Token(type='END', value=';', line=43, column=19)
Token(type='ARITOP', value='*', line=43, column=21)
Token(type='ID', value='ptr', line=43, column=22)
Token(type='END', value=';', line=43, column=25)
Token(type='ARITOP', value='+', line=43, column=27)
Token(type='ARITOP', value='+', line=43, column=28)
Token(type='ID', value='ptr', line=43, column=29)
Token(type='PARCLOSE', value=')', line=43, column=32)
Token(type='ARITOP', value='+', line=43, column=34)
Token(type='ARITOP', value='+', line=43, column=35)
Token(type='ID', value='len', line=43, column=36)
Token(type='END', value=';', line=43, column=39)
Token(type='IF', value='if', line=44, column=2)
Token(type='PAROPEN', value='(', line=44, column=5)
Token(type='ID', value='len', line=44, column=6)
Token(type='LOGOP', value='>=', line=44, column=10)
Token(type='ID', value='width', line=44, column=13)
Token(type='PARCLOSE', value=')', line=44, column=18)
Token(type='ID', value='width', line=44, column=20)
Token(type='ASSIGN', value='=', line=44, column=26)
Token(type='NUMBER', value=0, line=44, column=28)
Token(type='END', value=';', line=44, column=29)
Token(type='ELSE', value='else', line=45, column=2)
Token(type='ID', value='width', line=45, column=7)
Token(type='ARITOP', value='-', line=45, column=13)
Token(type='ASSIGN', value='=', line=45, column=14)
Token(type='ID', value='len', line=45, column=16)
