Token(type='PREPROC', value='#ifndef PRINTF-STDARG_H_', line=18, column=0)
Token(type='PREPROC', value='#define PRINTF-STDARG_H_', line=19, column=0)
Token(type='ID', value='int', line=22, column=0)
Token(type='ID', value='printf', line=22, column=4)
Token(type='PAROPEN', value='(', line=22, column=10)
Token(type='ID', value='const', line=22, column=11)
Token(type='ID', value='char', line=22, column=17)
Token(type='ARITOP', value='*', line=22, column=22)
Token(type='ID', value='format', line=22, column=23)
Token(type='LISTSEP', value=',', line=22, column=29)
Token(type='VARARG', value='...', line=22, column=31)
Token(type='PARCLOSE', value=')', line=22, column=34)
Token(type='END', value=';', line=22, column=35)
Token(type='PREPROC', value='#endif /* PRINTF-STDARG_H_ */', line=25, column=0)
Token(type='PREPROC', value='#ifndef PRINTF-STDARG_H_', line=18, column=0)
Token(type='PREPROC', value='#define PRINTF-STDARG_H_', line=19, column=0)
Token(type='ID', value='int', line=22, column=0)
Token(type='ID', value='printf', line=22, column=4)
Token(type='PAROPEN', value='(', line=22, column=10)
Token(type='ID', value='const', line=22, column=11)
Token(type='ID', value='char', line=22, column=17)
Token(type='ARITOP', value='*', line=22, column=22)
Token(type='ID', value='format', line=22, column=23)
Token(type='LISTSEP', value=',', line=22, column=29)
Token(type='VARARG', value='...', line=22, column=31)
Token(type='PARCLOSE', value=')', line=22, column=34)
Token(type='END', value=';', line=22, column=35)
Token(type='PREPROC', value='#endif /* PRINTF-STDARG_H_ */', line=25, column=0)
Token(type='PREPROC', value='#ifndef PRINTF-STDARG_H_', line=18, column=0)
Token(type='PREPROC', value='#define PRINTF-STDARG_H_', line=19, column=0)
Token(type='ID', value='int', line=22, column=0)
Token(type='ID', value='printf', line=22, column=4)
Token(type='PAROPEN', value='(', line=22, column=10)
Token(type='ID', value='const', line=22, column=11)
Token(type='ID', value='char', line=22, column=17)
Token(type='ARITOP', value='*', line=22, column=22)
Token(type='ID', value='format', line=22, column=23)
Token(type='LISTSEP', value=',', line=22, column=29)
Token(type='VARARG', value='...', line=22, column=31)
Token(type='PARCLOSE', value=')', line=22, column=34)
Token(type='END', value=';', line=22, column=35)
Token(type='PREPROC', value='#endif /* PRINTF-STDARG_H_ */', line=25, column=0)
Token(type='PREPROC', value='#ifndef PRINTF-STDARG_H_', line=18, column=0)
Token(type='PREPROC', value='#define PRINTF-STDARG_H_', line=19, column=0)
Token(type='ID', value='int', line=22, column=0)
Token(type='ID', value='printf', line=22, column=4)
Token(type='PAROPEN', value='(', line=22, column=10)
Token(type='ID', value='const', line=22, column=11)
Token(type='ID', value='char', line=22, column=17)
Token(type='ARITOP', value='*', line=22, column=22)
Token(type='ID', value='format', line=22, column=23)
Token(type='LISTSEP', value=',', line=22, column=29)
Token(type='VARARG', value='...', line=22, column=31)
Token(type='PARCLOSE', value=')', line=22, column=34)
Token(type='END', value=';', line=22, column=35)
Token(type='PREPROC', value='#endif /* PRINTF-STDARG_H_ */', line=25, column=0)
Token(type='PREPROC', value='#ifndef PRINTF-STDARG_H_', line=18, column=0)
Token(type='PREPROC', value='#define PRINTF-STDARG_H_', line=19, column=0)
Token(type='ID', value='int', line=22, column=0)
Token(type='ID', value='printf', line=22, column=4)
Token(type='PAROPEN', value='(', line=22, column=10)
Token(type='ID', value='const', line=22, column=11)
Token(type='ID', value='char', line=22, column=17)
Token(type='ARITOP', value='*', line=22, column=22)
Token(type='ID', value='format', line=22, column=23)
Token(type='LISTSEP', value=',', line=22, column=29)
Token(type='VARARG', value='...', line=22, column=31)
Token(type='PARCLOSE', value=')', line=22, column=34)
Token(type='END', value=';', line=22, column=35)
Token(type='PREPROC', value='#endif /* PRINTF-STDARG_H_ */', line=25, column=0)
Token(type='PREPROC', value='#ifndef PRINTF-STDARG_H_', line=18, column=0)
Token(type='PREPROC', value='#define PRINTF-STDARG_H_', line=19, column=0)
Token(type='ID', value='int', line=22, column=0)
Token(type='ID', value='printf', line=22, column=4)
Token(type='PAROPEN', value='(', line=22, column=10)
Token(type='ID', value='const', line=22, column=11)
Token(type='ID', value='char', line=22, column=17)
Token(type='ARITOP', value='*', line=22, column=22)
Token(type='ID', value='format', line=22, column=23)
Token(type='LISTSEP', value=',', line=22, column=29)
