Token(type='PREPROC', value='#ifndef TC_DRIVER', line=1, column=0)
Token(type='PREPROC', value='#define TC_DRIVER', line=2, column=0)
Token(type='ID', value='void', line=5, column=0)
Token(type='ID', value='tc_init', line=5, column=5)
Token(type='PAROPEN', value='(', line=5, column=12)
Token(type='ID', value='void', line=5, column=13)
Token(type='PARCLOSE', value=')', line=5, column=17)
Token(type='END', value=';', line=5, column=18)
Token(type='PREPROC', value='#endif', line=7, column=0)
Token(type='PREPROC', value='#ifndef TC_DRIVER', line=1, column=0)
Token(type='PREPROC', value='#define TC_DRIVER', line=2, column=0)
Token(type='ID', value='void', line=5, column=0)
Token(type='ID', value='tc_init', line=5, column=5)
Token(type='PAROPEN', value='(', line=5, column=12)
Token(type='ID', value='void', line=5, column=13)
Token(type='PARCLOSE', value=')', line=5, column=17)
Token(type='END', value=';', line=5, column=18)
Token(type='PREPROC', value='#endif', line=7, column=0)
Token(type='PREPROC', value='#ifndef TC_DRIVER', line=1, column=0)
Token(type='PREPROC', value='#define TC_DRIVER', line=2, column=0)
Token(type='ID', value='void', line=5, column=0)
Token(type='ID', value='tc_init', line=5, column=5)
Token(type='PAROPEN', value='(', line=5, column=12)
Token(type='ID', value='void', line=5, column=13)
Token(type='PARCLOSE', value=')', line=5, column=17)
Token(type='END', value=';', line=5, column=18)
Token(type='PREPROC', value='#endif', line=7, column=0)
Token(type='PREPROC', value='#ifndef TC_DRIVER', line=1, column=0)
Token(type='PREPROC', value='#define TC_DRIVER', line=2, column=0)
Token(type='ID', value='void', line=5, column=0)
Token(type='ID', value='tc_init', line=5, column=5)
Token(type='PAROPEN', value='(', line=5, column=12)
Token(type='ID', value='void', line=5, column=13)
Token(type='PARCLOSE', value=')', line=5, column=17)
Token(type='END', value=';', line=5, column=18)
Token(type='PREPROC', value='#endif', line=7, column=0)
Token(type='PREPROC', value='#ifndef TC_DRIVER', line=1, column=0)
Token(type='PREPROC', value='#define TC_DRIVER', line=2, column=0)
Token(type='ID', value='void', line=5, column=0)
Token(type='ID', value='tc_init', line=5, column=5)
Token(type='PAROPEN', value='(', line=5, column=12)
Token(type='ID', value='void', line=5, column=13)
Token(type='PARCLOSE', value=')', line=5, column=17)
Token(type='END', value=';', line=5, column=18)
Token(type='PREPROC', value='#endif', line=7, column=0)
Token(type='PREPROC', value='#ifndef TC_DRIVER', line=1, column=0)
Token(type='PREPROC', value='#define TC_DRIVER', line=2, column=0)
Token(type='ID', value='void', line=5, column=0)
Token(type='ID', value='tc_init', line=5, column=5)
Token(type='PAROPEN', value='(', line=5, column=12)
Token(type='ID', value='void', line=5, column=13)
Token(type='PARCLOSE', value=')', line=5, column=17)
Token(type='END', value=';', line=5, column=18)
Token(type='PREPROC', value='#endif', line=7, column=0)
Token(type='PREPROC', value='#ifndef TC_DRIVER', line=1, column=0)
Token(type='PREPROC', value='#define TC_DRIVER', line=2, column=0)
Token(type='ID', value='void', line=5, column=0)
Token(type='ID', value='tc_init', line=5, column=5)
Token(type='PAROPEN', value='(', line=5, column=12)
Token(type='ID', value='void', line=5, column=13)
Token(type='PARCLOSE', value=')', line=5, column=17)
Token(type='END', value=';', line=5, column=18)
Token(type='PREPROC', value='#endif', line=7, column=0)
Token(type='PREPROC', value='#ifndef TC_DRIVER', line=1, column=0)
Token(type='PREPROC', value='#define TC_DRIVER', line=2, column=0)
Token(type='ID', value='void', line=5, column=0)
Token(type='ID', value='tc_init', line=5, column=5)
Token(type='PAROPEN', value='(', line=5, column=12)
Token(type='ID', value='void', line=5, column=13)
Token(type='PARCLOSE', value=')', line=5, column=17)
Token(type='END', value=';', line=5, column=18)
Token(type='PREPROC', value='#endif', line=7, column=0)
Token(type='PREPROC', value='#ifndef TC_DRIVER', line=1, column=0)
Token(type='PREPROC', value='#define TC_DRIVER', line=2, column=0)
Token(type='ID', value='void', line=5, column=0)
Token(type='ID', value='tc_init', line=5, column=5)
Token(type='PAROPEN', value='(', line=5, column=12)
Token(type='ID', value='void', line=5, column=13)
Token(type='PARCLOSE', value=')', line=5, column=17)
Token(type='END', value=';', line=5, column=18)
Token(type='PREPROC', value='#endif', line=7, column=0)
Token(type='PREPROC', value='#ifndef TC_DRIVER', line=1, column=0)
Token(type='PREPROC', value='#define TC_DRIVER', line=2, column=0)
Token(type='ID', value='void', line=5, column=0)
Token(type='ID', value='tc_init', line=5, column=5)
Token(type='PAROPEN', value='(', line=5, column=12)
Token(type='ID', value='void', line=5, column=13)
Token(type='PARCLOSE', value=')', line=5, column=17)
Token(type='END', value=';', line=5, column=18)
Token(type='PREPROC', value='#endif', line=7, column=0)
Token(type='PREPROC', value='#ifndef TC_DRIVER', line=1, column=0)
Token(type='PREPROC', value='#define TC_DRIVER', line=2, column=0)
Token(type='ID', value='void', line=5, column=0)
Token(type='ID', value='tc_init', line=5, column=5)
Token(type='PAROPEN', value='(', line=5, column=12)
Token(type='ID', value='void', line=5, column=13)
Token(type='PARCLOSE', value=')', line=5, column=17)
